observation_date,NORPRINTO01IXOBM
2006-02-01,113.69280
2006-03-01,124.86420
2006-04-01,107.52520
2006-05-01,114.97280
2006-06-01,108.80530
2006-07-01,103.80140
2006-08-01,112.52910
2006-09-01,107.64160
2006-10-01,115.32200
2006-11-01,117.41660
2006-12-01,116.13650
2007-01-01,120.67490
2007-02-01,111.13270
2007-03-01,119.39490
2007-04-01,112.76180
2007-05-01,109.96900
2007-06-01,99.61210
2007-07-01,105.43060
2007-08-01,111.71450
2007-09-01,107.64160
2007-10-01,119.74400
2007-11-01,118.92940
2007-12-01,112.76180
2008-01-01,120.90770
2008-02-01,113.46000
2008-03-01,116.60200
2008-04-01,113.69280
2008-05-01,112.64550
2008-06-01,105.08150
2008-07-01,107.75790
2008-08-01,103.80140
2008-09-01,104.73240
2008-10-01,119.74400
2008-11-01,118.69670
2008-12-01,119.16210
2009-01-01,119.04580
2009-02-01,113.69280
2009-03-01,119.04580
2009-04-01,105.43060
2009-05-01,103.33590
2009-06-01,98.91389
2009-07-01,99.03026
2009-08-01,103.80140
2009-09-01,103.10320
2009-10-01,112.64550
2009-11-01,113.34370
2009-12-01,111.59810
2010-01-01,114.85650
2010-02-01,106.47790
2010-03-01,112.29640
2010-04-01,101.70670
2010-05-01,101.82310
2010-06-01,94.84097
2010-07-01,90.30256
2010-08-01,90.18619
2010-09-01,91.58262
2010-10-01,108.80530
2010-11-01,108.80530
2010-12-01,108.57250
2011-01-01,107.40880
2011-02-01,99.37936
2011-03-01,106.01240
2011-04-01,90.53530
2011-05-01,88.55702
2011-06-01,88.90613
2011-07-01,85.99689
2011-08-01,96.47013
2011-09-01,94.72459
2011-10-01,101.70670
2011-11-01,106.94340
2011-12-01,102.63770
2012-01-01,110.20170
2012-02-01,104.61600
2012-03-01,107.05970
2012-04-01,96.47013
2012-05-01,99.37936
2012-06-01,94.84097
2012-07-01,88.09155
2012-08-01,96.81924
2012-09-01,86.34601
2012-10-01,104.38320
2012-11-01,101.47400
2012-12-01,100.07760
2013-01-01,103.68500
2013-02-01,91.93173
2013-03-01,96.23740
2013-04-01,97.40108
2013-05-01,97.75019
2013-06-01,91.00078
2013-07-01,94.02637
2013-08-01,94.95733
2013-09-01,88.78976
2013-10-01,99.03026
2013-11-01,101.70670
2013-12-01,101.35760
2014-01-01,105.08150
2014-02-01,96.00465
2014-03-01,105.19780
2014-04-01,96.47013
2014-05-01,91.11714
2014-06-01,91.81536
2014-07-01,90.18619
2014-08-01,94.25912
2014-09-01,95.42281
2014-10-01,108.80530
2014-11-01,103.80140
2014-12-01,104.49960
2015-01-01,104.03410
2015-02-01,98.09930
2015-03-01,106.82700
2015-04-01,93.44453
2015-05-01,95.77192
2015-06-01,97.05198
2015-07-01,93.79364
2015-08-01,99.14662
2015-09-01,98.56478
2015-10-01,106.01240
2015-11-01,103.45230
2015-12-01,103.80140
2016-01-01,104.73240
2016-02-01,100.89220
2016-03-01,103.68500
2016-04-01,101.93950
2016-05-01,97.98293
2016-06-01,91.46626
2016-07-01,92.51357
2016-08-01,93.56090
2016-09-01,85.06594
2016-10-01,106.01240
2016-11-01,106.12880
2016-12-01,101.47400
2017-01-01,105.31420
2017-02-01,96.81924
2017-03-01,107.05970
2017-04-01,96.70287
2017-05-01,96.58650
2017-06-01,94.02637
2017-07-01,91.00078
2017-08-01,98.91389
2017-09-01,94.02637
2017-10-01,101.59040
2017-11-01,101.82310
2017-12-01,98.21567
2018-01-01,104.61600
2018-02-01,95.53918
2018-03-01,99.84484
2018-04-01,95.42281
2018-05-01,91.11714
2018-06-01,94.60822
2018-07-01,88.90613
2018-08-01,98.21567
2018-09-01,90.76804
2018-10-01,104.03410
2018-11-01,101.47400
2018-12-01,95.77192
2019-01-01,102.05590
2019-02-01,90.88441
2019-03-01,96.58650
2019-04-01,89.83708
2019-05-01,90.18619
2019-06-01,84.13499
2019-07-01,84.60046
2019-08-01,87.85880
2019-09-01,83.20403
2019-10-01,98.91389
2019-11-01,101.35760
2019-12-01,100.07760
2020-01-01,104.49960
2020-02-01,101.47400
2020-03-01,107.40880
2020-04-01,98.09930
2020-05-01,95.65555
2020-06-01,91.69899
2020-07-01,94.49185
2020-08-01,97.98293
2020-09-01,92.62994
2020-10-01,99.49574
2020-11-01,102.17220
2020-12-01,106.01240
2021-01-01,107.40880
2021-02-01,98.44841
2021-03-01,106.24510
2021-04-01,98.79752
2021-05-01,95.53918
2021-06-01,95.88828
2021-07-01,92.86269
2021-08-01,101.47400
2021-09-01,101.93950
2021-10-01,106.71060
2021-11-01,105.19780
2021-12-01,106.71060
2022-01-01,105.19780
2022-02-01,97.51746
2022-03-01,108.45620
2022-04-01,96.00465
2022-05-01,99.61210
2022-06-01,93.56090
2022-07-01,91.46626
2022-08-01,104.26690
2022-09-01,99.14662
2022-10-01,106.47790
2022-11-01,106.82700
2022-12-01,103.80140
2023-01-01,108.80530
2023-02-01,99.49574
2023-03-01,110.43440
2023-04-01,100.31030
2023-05-01,95.65555
2023-06-01,91.11714
2023-07-01,97.63383
2023-08-01,102.05590
2023-09-01,83.66951
2023-10-01,105.89600
2023-11-01,109.27080
2023-12-01,111.24900
